"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C1";"C_0805";2;"100nF";;;
2;"C3,C4";"C_0805";2;"1uF";;;
3;"D1";"LED_0805";1;"LED";;;
4;"J1";"USB_Micro_DIP";1;"USB_B_Micro";;;
5;"R1,R4";"R_0805";2;"1.5K";;;
6;"R2,R3";"R_0805";2;"22";;;
7;"R5,R6";"R_0805";2;"10K";;;
8;"U1";"GD32-QFN28-0.4mm-pitch-jlcpcb";1;"GD32F150G";;;
9;"H1,H2";"M2_mechanical";2;"M2_mechanical";;;
10;"J5";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Conn_01x02";;;
11;"J7";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Conn_01x04";;;
12;"U2";"SOT-23-5";1;"LDO-SOT-23-5";;;
13;"J4,J8";"Pin_Header_Straight_1x09_Pitch2.54mm";2;"Conn_01x09";;;
14;"J2,J3";"testing_pad_1_0";2;"Conn_01x01";;;
15;"J6";"PinSMD_1x06";1;"Conn_01x06";;;
16;"P1,P2";"4_2_pad";2;"4_2_pad";;;
