"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"100nF","desc","C2,C1,","C_0805","libref","2","2","","",
"1uF","desc","C4,C3,","C_0805","libref","2","2","","",
"4.7uF","desc","C5,","C_0805","libref","2","1","","",
"1N4148","desc","D2,","D_SOD-123","libref","2","1","","",
"LED","desc","D3,D1,","LED_0805","libref","2","2","","",
"Polyfuse","desc","F1,","C_0805","libref","2","1","","",
"Q_NMOS_GSD","desc","Q1,","SOT-23","libref","3","1","","",
"22","desc","R3,R2,","R_0805","libref","2","2","","",
"1.5K","desc","R7,R4,R1,","R_0805","libref","2","3","","",
"10K","desc","R8,R6,R5,","R_0805","libref","2","3","","",
"GD32F150G","desc","U1,","GD32-QFN28-0.4mm-pitch-jlcpcb","libref","29","1","","",
"LDO-SOT-23-5","desc","U2,","SOT-23-5","libref","5","1","","",
"Conn_01x01","desc","J3,J2,","testing_pad_1_0","libref","1","2","","",
"Conn_01x06","desc","J6,","PinSMD_1x06","libref","6","1","","",
"4_2_pad","desc","P2,P1,","4_2_pad","libref","1","2","","",
"Symbol_HighVoltage_4mm","desc","S1,","Symbol_HighVoltage_4mm","libref","0","1","","",
"Through Hole Items ",
"M2_mech_hole_with_edge","desc","BH2,BH1,","M2_mech_hole_with_edge","libref","1","2","","",
"M2_mechanical","desc","H2,H1,","M2_mechanical","libref","1","2","","",
"USB_B_Micro","desc","J1,","USB_Micro_DIP","libref","12","1","","",
"Conn_01x03","desc","J4,","KF129","libref","3","1","","",
"Conn_01x02","desc","J5,","Pin_Header_Straight_1x02_Pitch2.54mm","libref","2","1","","",
"Conn_01x04","desc","J7,","Pin_Header_Straight_1x04_Pitch2.54mm","libref","4","1","","",
"SANYOU_SRD_Form_C","desc","K1,","Relay_SPDT_SANYOU_SRD_Series_Form_C","libref","5","1","","",
