"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0805","8.1mm","45.0mm","8.1mm","45.0mm","7.1mm","45.0mm","T","0","100nF",
"C2","C_0805","8.8mm","52.3mm","8.8mm","52.3mm","7.8mm","52.3mm","T","0","100nF",
"C3","C_0805","12.4mm","45.0mm","12.4mm","45.0mm","11.4mm","45.0mm","T","0","1uF",
"C4","C_0805","12.5mm","51.6mm","12.5mm","51.6mm","13.5mm","51.6mm","T","180","1uF",
"C5","C_0805","9.3mm","43.0mm","9.3mm","43.0mm","10.3mm","43.0mm","T","180","4.7uF",
"D1","LED_0805","15.0mm","40.8mm","15.0mm","40.8mm","13.9mm","40.8mm","T","0","LED",
"D2","D_SOD-123","6.2mm","41.5mm","6.2mm","41.5mm","6.2mm","43.15mm","T","270","1N4148",
"D3","LED_0805","2.9mm","40.8mm","2.9mm","40.8mm","4.0mm","40.8mm","T","180","LED",
"F1","C_0805","13.2mm","55.4mm","13.2mm","55.4mm","13.2mm","54.4mm","T","90","Polyfuse",
"Q1","SOT-23","9.2mm","40.1mm","9.2mm","40.1mm","10.2mm","39.15mm","T","180","Q_NMOS_GSD",
"R1","R_0805","4.3mm","55.5mm","4.3mm","55.5mm","4.3mm","56.45mm","T","270","1.5K",
"R2","R_0805","7.5mm","55.5mm","7.5mm","55.5mm","7.5mm","54.55mm","T","90","22",
"R3","R_0805","9.6mm","55.5mm","9.6mm","55.5mm","9.6mm","54.55mm","T","90","22",
"R4","R_0805","15.4mm","42.9mm","15.4mm","42.9mm","14.45mm","42.9mm","T","0","1.5K",
"R5","R_0805","2.2mm","55.5mm","2.2mm","55.5mm","2.2mm","56.45mm","T","270","10K",
"R6","R_0805","4.6mm","45.0mm","4.6mm","45.0mm","5.55mm","45.0mm","T","180","10K",
"R7","R_0805","2.5mm","42.9mm","2.5mm","42.9mm","3.45mm","42.9mm","T","180","1.5K",
"R8","R_0805","12.0mm","40.3mm","12.0mm","40.3mm","12.0mm","39.35mm","T","90","10K",
"U1","GD32-QFN28-0.4mm-pitch-jlcpcb","6.7mm","49.0mm","6.7mm","49.0mm","5.5mm","47.15mm","T","0","GD32F150G",
"U2","SOT-23-5","12.4mm","48.3mm","12.4mm","48.3mm","13.35mm","49.4mm","T","270","LDO-SOT-23-5",
"J2","testing_pad_1_0","9.8mm","57.7mm","9.8mm","57.7mm","9.8mm","57.7mm","B","0","Conn_01x01",
"J3","testing_pad_1_0","8.2mm","57.75mm","8.2mm","57.75mm","8.2mm","57.75mm","B","0","Conn_01x01",
"J6","PinSMD_1x06","9.0mm","62.8mm","9.0mm","62.8mm","11.375mm","62.8mm","B","180","Conn_01x06",
"P1","4_2_pad","2.2mm","63.3mm","2.2mm","63.3mm","2.2mm","63.3mm","B","90","4_2_pad",
"P2","4_2_pad","15.8mm","63.3mm","15.8mm","63.3mm","15.8mm","63.3mm","B","90","4_2_pad",
"S1","Symbol_HighVoltage_4mm","8.3mm","37.5mm","8.3mm","37.5mm","8.3mm","37.5mm","B","180","Symbol_HighVoltage_4mm",
"Through Hole Items ",
"BH1","M2_mech_hole_with_edge","3.1mm","2.5mm","3.1mm","2.5mm","3.1mm","2.5mm","T","0","M2_mech_hole_with_edge",
"BH2","M2_mech_hole_with_edge","14.9mm","2.5mm","14.9mm","2.5mm","14.9mm","2.5mm","T","0","M2_mech_hole_with_edge",
"H1","M2_mechanical","14.9mm","60.7mm","14.9mm","60.7mm","14.9mm","60.7mm","T","0","M2_mechanical",
"H2","M2_mechanical","3.1mm","60.7mm","3.1mm","60.7mm","3.1mm","60.7mm","T","0","M2_mechanical",
"J1","USB_Micro_DIP","9.0mm","60.6mm","9.0mm","60.6mm","10.3mm","58.65mm","T","180","USB_B_Micro",
"J4","KF129","9.0mm","11.21mm","9.0mm","11.21mm","13.98mm","11.22mm","T","0","Conn_01x03",
"J5","Pin_Header_Straight_1x02_Pitch2.54mm","1.8mm","50.4mm","1.8mm","50.4mm","1.8mm","50.4mm","T","0","Conn_01x02",
"J7","Pin_Header_Straight_1x04_Pitch2.54mm","16.2mm","55.42mm","16.2mm","55.42mm","16.2mm","55.42mm","T","0","Conn_01x04",
"K1","Relay_SPDT_SANYOU_SRD_Series_Form_C","9.0mm","35.35mm","9.0mm","35.35mm","9.0mm","35.35mm","T","270","SANYOU_SRD_Form_C",
